pathway,Biodomain,biodomain_top5
GOBP_REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS,unknown,"Proteostasis, RNA Spliceosome, Epigenetic, DNA Repair, Autophagy"
GOBP_REGULATION_OF_MITOCHONDRIAL_MEMBRANE_PERMEABILITY,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Structural Stabilization"
GOBP_GOLGI_VESICLE_TRANSPORT,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Mitochondrial Metabolism"
GOBP_GOLGI_VESICLE_BUDDING,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism"
GOBP_VESICLE_TARGETING_TO_FROM_OR_WITHIN_GOLGI,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome"
GOBP_VESICLE_TARGETING_ROUGH_ER_TO_CIS_GOLGI,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, RNA Spliceosome"
GOBP_GOLGI_VESICLE_FUSION_TO_TARGET_MEMBRANE,Proteostasis,"Endolysosome, Proteostasis, Structural Stabilization, Autophagy, Mitochondrial Metabolism"
GOBP_NEGATIVE_REGULATION_OF_RECEPTOR_MEDIATED_ENDOCYTOSIS,Endolysosome,"Endolysosome, Autophagy, Lipid Metabolism, Immune Response, Oxidative Stress"
GOBP_VESICLE_FUSION_WITH_GOLGI_APPARATUS,Proteostasis,"Endolysosome, Proteostasis, Mitochondrial Metabolism, Autophagy, Structural Stabilization"
GOBP_HEMATOPOIETIC_OR_LYMPHOID_ORGAN_DEVELOPMENT,Immune Response,"Vasculature, Immune Response, Myelination, Structural Stabilization, APP Metabolism"
GOBP_PIGMENT_GRANULE_MATURATION,unknown,"Endolysosome, Autophagy, Lipid Metabolism, Structural Stabilization, Immune Response"
GOBP_OTOLITH_DEVELOPMENT,unknown,"Vasculature, Structural Stabilization, Synapse, Myelination, Immune Response"
GOBP_FOREBRAIN_MORPHOGENESIS,unknown,"Vasculature, Synapse, Myelination, Structural Stabilization, APP Metabolism"
GOBP_FORMATION_OF_ANATOMICAL_BOUNDARY,unknown,"Structural Stabilization, Vasculature, Myelination, Immune Response, Epigenetic"
GOBP_AMYLOID_BETA_METABOLIC_PROCESS,APP Metabolism,"APP Metabolism, Lipid Metabolism, Oxidative Stress, Immune Response, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_VIRUS,Immune Response,"Immune Response, Oxidative Stress, Apoptosis, Endolysosome, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_PHAGOCYTOSIS,Immune Response,"Immune Response, Endolysosome, Autophagy, Oxidative Stress, Structural Stabilization"
GOBP_PROTEIN_STABILIZATION,Proteostasis,"Proteostasis, Structural Stabilization, Autophagy, DNA Repair, Oxidative Stress"
GOBP_WHITE_FAT_CELL_DIFFERENTIATION,Lipid Metabolism,"Lipid Metabolism, Vasculature, Immune Response, Structural Stabilization, Myelination"
GOBP_LEUKOCYTE_TETHERING_OR_ROLLING,Immune Response,"Immune Response, Vasculature, Structural Stabilization, Oxidative Stress, Apoptosis"
GOBP_MICROTUBULE_SEVERING,Structural Stabilization,"Structural Stabilization, Synapse, Mitochondrial Metabolism, Proteostasis, Autophagy"
GOBP_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,unknown,"Endolysosome, Proteostasis, Apoptosis, Synapse, Lipid Metabolism"
GOBP_NEGATIVE_REGULATION_OF_MEMBRANE_PROTEIN_ECTODOMAIN_PROTEOLYSIS,unknown,"Proteostasis, Synapse, Structural Stabilization, Endolysosome, APP Metabolism"
GOBP_CHAPERONE_COFACTOR_DEPENDENT_PROTEIN_REFOLDING,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Apoptosis, Mitochondrial Metabolism"
GOBP_HEPOXILIN_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Immune Response, Endolysosome, APP Metabolism"
GOBP_POSITIVE_REGULATION_OF_ACTIN_NUCLEATION,Structural Stabilization,"Structural Stabilization, Synapse, Proteostasis, Myelination, Autophagy"
GOBP_CHAPERONE_MEDIATED_PROTEIN_COMPLEX_ASSEMBLY,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Synapse, Structural Stabilization"
GOBP_NK_T_CELL_ACTIVATION,Immune Response,"Immune Response, Vasculature, Synapse, Apoptosis, Oxidative Stress"
GOBP_PROTEIN_INSERTION_INTO_MEMBRANE,Proteostasis,"Structural Stabilization, Synapse, Proteostasis, Endolysosome, Mitochondrial Metabolism"
GOBP_MAINTENANCE_OF_LOCATION,unknown,"Structural Stabilization, Synapse, Myelination, Proteostasis, Vasculature"
GOBP_POSITIVE_REGULATION_OF_OXIDOREDUCTASE_ACTIVITY,Oxidative Stress,"Oxidative Stress, Mitochondrial Metabolism, Proteostasis, Immune Response, Lipid Metabolism"
GOBP_KINETOCHORE_ASSEMBLY,Cell Cycle,"Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Autophagy"
GOBP_KINETOCHORE_ORGANIZATION,unknown,"Cell Cycle, Structural Stabilization, DNA Repair, Mitochondrial Metabolism, Autophagy"
GOBP_REGULATION_OF_NEUROTROPHIN_TRK_RECEPTOR_SIGNALING_PATHWAY,Synapse,"Synapse, Immune Response, Mitochondrial Metabolism, Proteostasis, Oxidative Stress"
GOBP_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Synapse,"Synapse, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_MITOCHONDRIAL_CALCIUM_ION_CONCENTRATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature"
GOBP_POSITIVE_REGULATION_OF_HISTONE_H3_K9_METHYLATION,Epigenetic,"Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response"
GOBP_RESPONSE_TO_CAMP,unknown,"Immune Response, Synapse, Oxidative Stress, Vasculature, Lipid Metabolism"
GOBP_PROTEOLYSIS_INVOLVED_IN_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, Apoptosis, DNA Repair, Endolysosome"
GOBP_NOREPINEPHRINE_UPTAKE,Synapse,"Synapse, Immune Response, Vasculature, Oxidative Stress, Lipid Metabolism"
GOBP_MAINTENANCE_OF_LOCATION_IN_CELL,unknown,"Structural Stabilization, Proteostasis, Autophagy, Endolysosome, Myelination"
GOBP_MAINTENANCE_OF_CENTROSOME_LOCATION,unknown,"Cell Cycle, Structural Stabilization, Mitochondrial Metabolism, Autophagy, Epigenetic"
GOBP_PROTEIN_DELIPIDATION,Lipid Metabolism,"Lipid Metabolism, Endolysosome, Autophagy, Proteostasis, Oxidative Stress"
GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_INTERACTION_WITH_SYMBIONT,unknown,"Immune Response, Vasculature, Synapse, Oxidative Stress, Structural Stabilization"
GOBP_RESPONSE_TO_MISFOLDED_PROTEIN,Proteostasis,"Proteostasis, Autophagy, Oxidative Stress, Apoptosis, Endolysosome"
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_PROCESS,unknown,"Immune Response, Oxidative Stress, Endolysosome, Autophagy, Vasculature"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_KINASE_B_SIGNALING,unknown,"Proteostasis, Oxidative Stress, Immune Response, Apoptosis, Endolysosome"
GOBP_ESTABLISHMENT_OF_PIGMENT_GRANULE_LOCALIZATION,unknown,"Endolysosome, Lipid Metabolism, Autophagy, Structural Stabilization, Proteostasis"
GOBP_CATECHOLAMINE_UPTAKE_INVOLVED_IN_SYNAPTIC_TRANSMISSION,Synapse,"Synapse, Immune Response, Structural Stabilization, Oxidative Stress, Mitochondrial Metabolism"
GOBP_GLUTAMATE_REUPTAKE,Synapse,"Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_POSITIVE_REGULATION_OF_TELOMERASE_ACTIVITY,Epigenetic,"DNA Repair, Epigenetic, Oxidative Stress, Proteostasis, Lipid Metabolism"
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_SEGREGATION,Cell Cycle,"Cell Cycle, DNA Repair, Proteostasis, Apoptosis, Structural Stabilization"
GOBP_ASYMMETRIC_NEUROBLAST_DIVISION,unknown,"Synapse, Myelination, Structural Stabilization, Immune Response, Proteostasis"
GOBP_SODIUM_ION_HOMEOSTASIS,Metal Binding and Homeostasis,"Metal Binding and Homeostasis, Vasculature, Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress"
GOBP_SERTOLI_CELL_PROLIFERATION,unknown,"Vasculature, Immune Response, Myelination, Structural Stabilization, Proteostasis"
GOBP_BERGMANN_GLIAL_CELL_DIFFERENTIATION,unknown,"Myelination, Synapse, Immune Response, Structural Stabilization, APP Metabolism"
GOBP_CONVERGENT_EXTENSION,unknown,"Structural Stabilization, Myelination, Immune Response, Apoptosis, Autophagy"
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_GASTRULATION,unknown,"Structural Stabilization, Myelination, Immune Response, Apoptosis, Autophagy"
GOBP_CONVERGENT_EXTENSION_INVOLVED_IN_ORGANOGENESIS,unknown,"Structural Stabilization, Myelination, Vasculature, Immune Response, Autophagy"
GOBP_REGULATION_OF_SYNCYTIUM_FORMATION_BY_PLASMA_MEMBRANE_FUSION,unknown,"Synapse, Structural Stabilization, Immune Response, Autophagy, Mitochondrial Metabolism"
GOBP_REGULATION_OF_GLIAL_CELL_PROLIFERATION,Immune Response,"Vasculature, Immune Response, Myelination, Structural Stabilization, APP Metabolism"
GOBP_REGULATION_OF_RESPIRATORY_BURST,Immune Response,"Oxidative Stress, Immune Response, Vasculature, Mitochondrial Metabolism, Proteostasis"
GOBP_CARDIAC_EPITHELIAL_TO_MESENCHYMAL_TRANSITION,Vasculature,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_BRONCHUS_DEVELOPMENT,unknown,"Vasculature, Structural Stabilization, Immune Response, Myelination, APP Metabolism"
GOBP_POSITIVE_REGULATION_OF_CARDIAC_MUSCLE_CONTRACTION,Vasculature,"Vasculature, Synapse, Mitochondrial Metabolism, Apoptosis, Immune Response"
GOBP_REGULATION_OF_CHROMOSOME_CONDENSATION,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Structural Stabilization, Autophagy"
GOBP_PLACENTA_BLOOD_VESSEL_DEVELOPMENT,Vasculature,"Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy"
GOBP_BRANCH_ELONGATION_INVOLVED_IN_URETERIC_BUD_BRANCHING,unknown,"Vasculature, Structural Stabilization, Myelination, Immune Response, APP Metabolism"
GOBP_LABYRINTHINE_LAYER_BLOOD_VESSEL_DEVELOPMENT,Vasculature,"Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination"
GOBP_BLOOD_VESSEL_ENDOTHELIAL_CELL_DIFFERENTIATION,Vasculature,"Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy"
GOBP_ARTERIAL_ENDOTHELIAL_CELL_DIFFERENTIATION,Vasculature,"Vasculature, Immune Response, Structural Stabilization, APP Metabolism, Autophagy"
GOBP_ESTABLISHMENT_OF_BLOOD_BRAIN_BARRIER,Vasculature,"Vasculature, Immune Response, Structural Stabilization, Endolysosome, Oxidative Stress"
GOBP_CHAPERONE_MEDIATED_PROTEIN_FOLDING,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Apoptosis, Structural Stabilization"
GOBP_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response"
GOBP_ESTABLISHMENT_OR_MAINTENANCE_OF_BIPOLAR_CELL_POLARITY,unknown,"Synapse, Structural Stabilization, Myelination, Immune Response, Autophagy"
GOBP_NOTCH_SIGNALING_INVOLVED_IN_HEART_DEVELOPMENT,unknown,"Vasculature, Immune Response, Mitochondrial Metabolism, Structural Stabilization, Apoptosis"
GOBP_CHAPERONE_MEDIATED_AUTOPHAGY,Autophagy,"Autophagy, Proteostasis, Endolysosome, Apoptosis, Immune Response"
GOBP_SELECTIVE_AUTOPHAGY,Autophagy,"Autophagy, Endolysosome, Proteostasis, Lipid Metabolism, Immune Response"
GOBP_PROCESS_UTILIZING_AUTOPHAGIC_MECHANISM,Autophagy,"Autophagy, Proteostasis, Oxidative Stress, APP Metabolism, Immune Response"
GOBP_MEIOSIS_I_CELL_CYCLE_PROCESS,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Autophagy, Mitochondrial Metabolism"
GOBP_INTRACELLULAR_PROTEIN_TRANSMEMBRANE_TRANSPORT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Lipid Metabolism"
GOBP_CHROMOSOME_ORGANIZATION_INVOLVED_IN_MEIOTIC_CELL_CYCLE,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Autophagy, Mitochondrial Metabolism"
GOBP_REGULATION_OF_STRESS_ACTIVATED_PROTEIN_KINASE_SIGNALING_CASCADE,unknown,"Oxidative Stress, Immune Response, Proteostasis, Apoptosis, Mitochondrial Metabolism"
GOBP_LENS_FIBER_CELL_DIFFERENTIATION,unknown,"Myelination, Structural Stabilization, Synapse, Immune Response, Epigenetic"
GOBP_HISTONE_H2A_K63_LINKED_DEUBIQUITINATION,Epigenetic,"Proteostasis, Epigenetic, DNA Repair, Autophagy, RNA Spliceosome"
GOBP_POSITIVE_REGULATION_OF_VITAMIN_D_RECEPTOR_SIGNALING_PATHWAY,unknown,"Lipid Metabolism, Immune Response, Oxidative Stress, Endolysosome, Epigenetic"
GOBP_RESPONSE_TO_INTERLEUKIN_2,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization"
GOBP_PHOSPHORYLATION_OF_RNA_POLYMERASE_II_C_TERMINAL_DOMAIN,Epigenetic,"RNA Spliceosome, Proteostasis, Epigenetic, Cell Cycle, DNA Repair"
GOBP_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_POSITIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Lipid Metabolism"
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Structural Stabilization, RNA Spliceosome"
GOBP_DNA_CONFORMATION_CHANGE,Epigenetic,"DNA Repair, Epigenetic, Cell Cycle, Proteostasis, Autophagy"
GOBP_RESOLUTION_OF_RECOMBINATION_INTERMEDIATES,Cell Cycle,"DNA Repair, Cell Cycle, Proteostasis, Epigenetic, Autophagy"
GOBP_RIBONUCLEOPROTEIN_COMPLEX_LOCALIZATION,Proteostasis,"RNA Spliceosome, Proteostasis, Synapse, Structural Stabilization, Epigenetic"
GOBP_CELLULAR_RESPONSE_TO_ELECTRICAL_STIMULUS,unknown,"Synapse, Vasculature, Immune Response, Structural Stabilization, Oxidative Stress"
GOBP_CELLULAR_RESPONSE_TO_LITHIUM_ION,unknown,"Metal Binding and Homeostasis, Oxidative Stress, Immune Response, Lipid Metabolism, Endolysosome"
GOBP_CELLULAR_RESPONSE_TO_CGMP,unknown,"Vasculature, Immune Response, Oxidative Stress, Synapse, Structural Stabilization"
GOBP_CELLULAR_RESPONSE_TO_STEROID_HORMONE_STIMULUS,Lipid Metabolism,"Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Epigenetic"
GOBP_CELLULAR_RESPONSE_TO_ESTRADIOL_STIMULUS,Lipid Metabolism,"Lipid Metabolism, Immune Response, Oxidative Stress, Epigenetic, Vasculature"
GOBP_CELLULAR_RESPONSE_TO_TESTOSTERONE_STIMULUS,Lipid Metabolism,"Lipid Metabolism, Vasculature, Immune Response, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_HISTONE_H3_K14_ACETYLATION,Epigenetic,"Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle"
GOBP_PROTEIN_LOCALIZATION_TO_CHROMOSOME_CENTROMERIC_REGION,Epigenetic,"Structural Stabilization, Epigenetic, DNA Repair, Proteostasis, Autophagy"
GOBP_CELLULAR_RESPONSE_TO_ACIDIC_PH,unknown,"Oxidative Stress, Immune Response, Endolysosome, Autophagy, Lipid Metabolism"
GOBP_CELLULAR_RESPONSE_TO_STEROL_DEPLETION,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Vasculature, Immune Response, Autophagy"
GOBP_ECTODERMAL_PLACODE_DEVELOPMENT,unknown,"Vasculature, Synapse, Myelination, Structural Stabilization, Immune Response"
GOBP_PROTEIN_TRANSMEMBRANE_TRANSPORT,Proteostasis,"Endolysosome, Structural Stabilization, Mitochondrial Metabolism, Lipid Metabolism, Proteostasis"
GOBP_TAIL_ANCHORED_MEMBRANE_PROTEIN_INSERTION_INTO_ER_MEMBRANE,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, Epigenetic"
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_SERINE_THREONINE_KINASE_ACTIVITY,unknown,"Proteostasis, Apoptosis, Immune Response, Structural Stabilization, Epigenetic"
GOBP_MAINTENANCE_OF_PROTEIN_LOCALIZATION_IN_ORGANELLE,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Mitochondrial Metabolism, Structural Stabilization"
GOBP_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM,Proteostasis,"Proteostasis, Autophagy, Endolysosome, Structural Stabilization, Epigenetic"
GOBP_MAINTENANCE_OF_PROTEIN_LOCATION_IN_MITOCHONDRION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Proteostasis, Oxidative Stress, Autophagy, Structural Stabilization"
GOBP_T_CELL_EXTRAVASATION,Immune Response,"Immune Response, Vasculature, Structural Stabilization, Apoptosis, Oxidative Stress"
GOBP_PROTEIN_K6_LINKED_UBIQUITINATION,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Immune Response, Oxidative Stress"
GOBP_ENDOTHELIN_RECEPTOR_SIGNALING_PATHWAY,Immune Response,"Vasculature, Immune Response, Structural Stabilization, Oxidative Stress, Endolysosome"
GOBP_REGULATION_OF_PROTEIN_DEUBIQUITINATION,Proteostasis,"Proteostasis, DNA Repair, Autophagy, Epigenetic, Immune Response"
GOBP_COPII_COATED_VESICLE_BUDDING,Proteostasis,"Endolysosome, Proteostasis, Autophagy, Structural Stabilization, Lipid Metabolism"
GOBP_C_5_METHYLATION_OF_CYTOSINE,Epigenetic,"Epigenetic, DNA Repair, Proteostasis, Oxidative Stress, APP Metabolism"
GOBP_ESTABLISHMENT_OF_EPITHELIAL_CELL_POLARITY,Structural Stabilization,"Structural Stabilization, Myelination, Immune Response, Autophagy, Epigenetic"
GOBP_ESTABLISHMENT_OF_PLANAR_POLARITY_INVOLVED_IN_NEURAL_TUBE_CLOSURE,unknown,"Myelination, Synapse, Structural Stabilization, Immune Response, APP Metabolism"
GOBP_POSITIVE_REGULATION_OF_TRIGLYCERIDE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Vasculature, Mitochondrial Metabolism, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_METAPHASE_PLATE_CONGRESSION,Cell Cycle,"Cell Cycle, Mitochondrial Metabolism, Proteostasis, Structural Stabilization, Apoptosis"
GOBP_POSITIVE_REGULATION_OF_HISTONE_H4_ACETYLATION,Epigenetic,"Epigenetic, Proteostasis, DNA Repair, Autophagy, Cell Cycle"
GOBP_NEGATIVE_REGULATION_OF_HISTONE_H4_ACETYLATION,Epigenetic,"Epigenetic, Proteostasis, DNA Repair, Autophagy, Immune Response"
GOBP_POSITIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY,unknown,"Proteostasis, Structural Stabilization, Autophagy, Synapse, APP Metabolism"
GOBP_NEGATIVE_REGULATION_OF_CALCIUM_ION_IMPORT,Metal Binding and Homeostasis,"Oxidative Stress, Vasculature, Mitochondrial Metabolism, Immune Response, Proteostasis"
GOBP_REGULATION_OF_OSTEOCLAST_PROLIFERATION,Immune Response,"Vasculature, Immune Response, Apoptosis, Structural Stabilization, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Synapse, Structural Stabilization"
GOBP_NEGATIVE_REGULATION_OF_INTRACELLULAR_PROTEIN_TRANSPORT,Proteostasis,"Proteostasis, Endolysosome, Autophagy, Structural Stabilization, RNA Spliceosome"
GOBP_REGULATION_OF_DNA_TEMPLATED_DNA_REPLICATION,Cell Cycle,"Cell Cycle, DNA Repair, Epigenetic, Mitochondrial Metabolism, Proteostasis"
GOBP_STRESS_INDUCED_PREMATURE_SENESCENCE,unknown,"Oxidative Stress, Proteostasis, Apoptosis, Immune Response, Cell Cycle"
GOBP_INTRACELLULAR_GLUTAMATE_HOMEOSTASIS,unknown,"Synapse, Immune Response, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_REGULATION_OF_MEMBRANE_PERMEABILITY,Lipid Metabolism,"Vasculature, Synapse, Structural Stabilization, Oxidative Stress, Immune Response"
GOBP_TELOMERIC_LOOP_DISASSEMBLY,unknown,"DNA Repair, Proteostasis, Epigenetic, Autophagy, Oxidative Stress"
GOBP_ENDOTHELIAL_CELL_MATRIX_ADHESION,Structural Stabilization,"Vasculature, Structural Stabilization, Immune Response, Endolysosome, Autophagy"
GOBP_RESPONSE_TO_THYROID_HORMONE,unknown,"Lipid Metabolism, Immune Response, Oxidative Stress, Mitochondrial Metabolism, Epigenetic"
GOBP_CELLULAR_RESPONSE_TO_THYROID_HORMONE_STIMULUS,unknown,"Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Epigenetic"
GOBP_VASCULAR_ASSOCIATED_SMOOTH_MUSCLE_CELL_DEVELOPMENT,Vasculature,"Vasculature, Immune Response, Structural Stabilization, Apoptosis, Myelination"
GOBP_EPOXIDE_METABOLIC_PROCESS,Lipid Metabolism,"Lipid Metabolism, Oxidative Stress, Mitochondrial Metabolism, Autophagy, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_TRANSCRIPTION_FROM_RNA_POLYMERASE_II_PROMOTER_IN_RESPONSE_TO_STRESS,Epigenetic,"Oxidative Stress, Proteostasis, Epigenetic, Autophagy, Immune Response"
GOBP_RENAL_TUBULAR_SECRETION,unknown,"Vasculature, Lipid Metabolism, Oxidative Stress, Immune Response, Proteostasis"
GOBP_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Apoptosis, Proteostasis, Synapse"
GOBP_RECEPTOR_SIGNALING_PATHWAY_VIA_STAT,Immune Response,"Immune Response, Synapse, Oxidative Stress, Proteostasis, Structural Stabilization"
GOBP_RESPONSE_TO_INTERLEUKIN_7,Immune Response,"Immune Response, Vasculature, Apoptosis, Oxidative Stress, Structural Stabilization"
GOBP_RESPONSE_TO_MITOCHONDRIAL_DEPOLARISATION,Mitochondrial Metabolism,"Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Synapse, Vasculature"
GOBP_REGULATION_OF_RENAL_SYSTEM_PROCESS,Vasculature,"Vasculature, Immune Response, Lipid Metabolism, Oxidative Stress, Proteostasis"
GOBP_VESICLE_MEDIATED_TRANSPORT_BETWEEN_ENDOSOMAL_COMPARTMENTS,Endolysosome,"Endolysosome, Autophagy, Oxidative Stress, Immune Response, Proteostasis"
GOBP_REGULATION_OF_PRESYNAPTIC_CYTOSOLIC_CALCIUM_ION_CONCENTRATION,Synapse,"Synapse, Vasculature, Immune Response, Oxidative Stress, Structural Stabilization"
GOBP_PROTEIN_LOCALIZATION_TO_AXON,Synapse,"Synapse, Structural Stabilization, Myelination, Proteostasis, Axon"
GOBP_NEGATIVE_REGULATION_OF_PLASMA_MEMBRANE_BOUNDED_CELL_PROJECTION_ASSEMBLY,unknown,"Structural Stabilization, Synapse, Myelination, Proteostasis, Autophagy"
GOBP_NEGATIVE_REGULATION_OF_COLD_INDUCED_THERMOGENESIS,unknown,"Oxidative Stress, Immune Response, Mitochondrial Metabolism, Lipid Metabolism, APP Metabolism"
GOBP_DENDRITE_ARBORIZATION,Synapse,"Synapse, Structural Stabilization, Myelination, Immune Response, Proteostasis"
GOBP_INTEGRATED_STRESS_RESPONSE_SIGNALING,unknown,"Oxidative Stress, Proteostasis, Immune Response, Autophagy, Mitochondrial Metabolism"
GOBP_AMYLOID_BETA_CLEARANCE_BY_TRANSCYTOSIS,APP Metabolism,"APP Metabolism, Endolysosome, Immune Response, Autophagy, Oxidative Stress"
GOBP_POSITIVE_REGULATION_OF_CYTOKINE_PRODUCTION_INVOLVED_IN_INFLAMMATORY_RESPONSE,Immune Response,"Immune Response, Oxidative Stress, Vasculature, Apoptosis, Proteostasis"
GOBP_POSITIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS,unknown,"Vasculature, Lipid Metabolism, Immune Response, Oxidative Stress, Proteostasis"
GOBP_REGULATION_OF_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE,Proteostasis,"Proteostasis, Oxidative Stress, Autophagy, Immune Response, Epigenetic"
GOBP_REGULATION_OF_RECEPTOR_BINDING,unknown,"Synapse, Immune Response, Structural Stabilization, Endolysosome, Lipid Metabolism"
GOBP_REGULATION_OF_PHENOTYPIC_SWITCHING,unknown,"Immune Response, Epigenetic, Oxidative Stress, Proteostasis, Autophagy"
GOBP_REGULATION_OF_DNA_DIRECTED_DNA_POLYMERASE_ACTIVITY,Cell Cycle,"DNA Repair, Cell Cycle, Epigenetic, Proteostasis, Autophagy"
GOBP_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse"
GOBP_NEGATIVE_REGULATION_OF_MITOCHONDRIAL_OUTER_MEMBRANE_PERMEABILIZATION_INVOLVED_IN_APOPTOTIC_SIGNALING_PATHWAY,Apoptosis,"Mitochondrial Metabolism, Apoptosis, Oxidative Stress, Proteostasis, Synapse"
GOBP_NEGATIVE_REGULATION_OF_NIK_NF_KAPPAB_SIGNALING,Apoptosis,"Immune Response, Apoptosis, Oxidative Stress, Proteostasis, Endolysosome"
GOBP_SUCCINYL_COA_CATABOLIC_PROCESS,Mitochondrial Metabolism,"Lipid Metabolism, Mitochondrial Metabolism, Oxidative Stress, Proteostasis, Autophagy"
GOBP_ORGANONITROGEN_COMPOUND_CATABOLIC_PROCESS,unknown,"Lipid Metabolism, Oxidative Stress, Autophagy, Proteostasis, Endolysosome"
GOBP_POSITIVE_REGULATION_OF_SIGNAL_TRANSDUCTION_BY_P53_CLASS_MEDIATOR,Epigenetic,"Immune Response, Oxidative Stress, Apoptosis, DNA Repair, Proteostasis"
GOBP_NEGATIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Apoptosis, Autophagy, DNA Repair, Immune Response"
GOBP_POSITIVE_REGULATION_OF_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS,Proteostasis,"Proteostasis, Autophagy, DNA Repair, Apoptosis, Immune Response"
